subscription_id,customer_id,subscription_start_date,subscription_end_date,auto_renew
401,1,2023-01-01,2024-01-01,1
402,2,2023-12-15,2023-12-15,0
403,3,2024-06-22,2022-06-22,0
404,4,2023-01-05,2024-01-05,1
405,5,2024-10-10,2023-10-10,1
406,6,2024-07-01,2024-07-01,0
407,7,2023-09-15,2024-09-15,1
408,8,2024-08-22,2023-08-22,0
409,9,2024-05-10,2024-05-10,1
410,10,2023-11-15,2023-11-15,1
411,11,2023-12-01,2022-12-01,0
412,12,2024-06-18,2024-06-18,0
413,13,2024-02-25,2024-02-25,1
414,14,2024-05-15,2023-05-15,1
415,15,2023-04-20,2024-04-20,0
